Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul George,SF,29,LAC,15,15,450,111,256,.434,59,148,.399,52,108,.481,.549,67,73,.918,8,86,94,53,21,7,50,38,348
Taj Gibson,C,34,NYK,23,17,374,50,99,.505,2,10,.200,48,89,.539,.515,9,15,.600,42,59,101,28,15,6,16,49,111
Harry Giles,PF,21,SAC,7,0,52,11,25,.440,0,0,NA,11,25,.440,.440,2,2,1.000,3,4,7,5,2,3,5,13,24
Shai Gilgeous-Alexander,SG,21,OKC,24,24,837,160,372,.430,34,96,.354,126,276,.457,.476,92,116,.793,16,107,123,73,24,11,52,45,446
Rudy Gobert,C,27,UTA,23,23,781,129,189,.683,0,0,NA,129,189,.683,.683,79,129,.612,81,233,314,33,19,41,52,72,337
Brandon Goodwin,PG,24,ATL,2,0,5,0,1,.000,0,1,.000,0,0,NA,.000,0,0,NA,0,0,0,0,0,0,2,1,0
Aaron Gordon,PF,24,ORL,21,21,657,105,247,.425,26,83,.313,79,164,.482,.478,51,71,.718,36,114,150,61,15,11,31,46,287
Eric Gordon,SG,31,HOU,9,2,265,34,110,.309,21,74,.284,13,36,.361,.405,9,14,.643,3,14,17,7,5,2,12,21,98
Devonte' Graham,PG,24,CHO,27,17,913,174,419,.415,103,240,.429,71,179,.397,.538,89,110,.809,29,71,100,205,19,6,80,48,540
Treveon Graham,SG,26,MIN,23,17,494,47,138,.341,13,63,.206,34,75,.453,.388,19,24,.792,23,54,77,24,14,2,13,50,126
Jerami Grant,PF,25,DEN,23,0,514,82,181,.453,32,81,.395,50,100,.500,.541,26,46,.565,11,68,79,24,11,14,18,42,222
Josh Gray,PG,26,NOP,2,0,23,1,2,.500,0,0,NA,1,2,.500,.500,0,0,NA,1,1,2,2,0,0,5,1,2
Danny Green,SG,32,LAL,25,25,637,75,175,.429,47,124,.379,28,51,.549,.563,8,11,.727,17,79,96,32,32,13,23,59,205
Draymond Green,PF,29,GSW,17,17,490,56,137,.409,12,45,.267,44,92,.478,.453,31,43,.721,7,98,105,101,29,11,39,44,155
JaMychal Green,PF,29,LAC,22,0,469,55,133,.414,34,90,.378,21,43,.488,.541,18,21,.857,29,116,145,10,13,7,20,54,162
