Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dorian Finney-Smith,PF,26,DAL,23,20,618,73,155,.471,28,85,.329,45,70,.643,.561,24,34,.706,43,73,116,25,14,10,24,43,198
Bryn Forbes,SG,26,SAS,23,23,619,105,251,.418,55,152,.362,50,99,.505,.528,31,37,.838,7,50,57,46,12,0,16,44,296
Evan Fournier,SG,27,ORL,23,23,707,159,329,.483,64,143,.448,95,186,.511,.581,78,92,.848,4,64,68,73,22,4,47,53,460
De'Aaron Fox,PG,22,SAC,9,9,288,55,128,.430,10,30,.333,45,98,.459,.469,44,62,.710,5,31,36,63,7,5,37,27,164
Melvin Frazier,SG,23,ORL,4,0,11,1,6,.167,0,1,.000,1,5,.200,.167,0,0,NA,1,0,1,1,0,0,0,1,2
Tim Frazier,PG,29,DET,13,4,138,9,42,.214,3,14,.214,6,28,.214,.250,11,14,.786,4,9,13,38,8,2,12,18,32
Markelle Fultz,PG,21,ORL,23,18,593,113,236,.479,8,38,.211,105,198,.530,.496,42,53,.792,10,53,63,94,29,4,42,49,276
Wenyen Gabriel,PF,22,SAC,7,0,47,5,16,.313,1,8,.125,4,8,.500,.344,5,9,.556,4,4,8,3,2,2,3,6,16
Daniel Gafford,C,21,CHI,16,0,169,32,43,.744,0,0,NA,32,43,.744,.744,10,21,.476,14,15,29,2,1,14,2,23,74
Danilo Gallinari,PF,31,OKC,22,22,668,123,276,.446,60,149,.403,63,127,.496,.554,96,105,.914,12,114,126,46,15,3,31,35,402
Langston Galloway,SG,28,DET,24,6,662,96,213,.451,61,142,.430,35,71,.493,.594,45,50,.900,9,42,51,37,14,7,19,30,298
Darius Garland,PG,20,CLE,23,23,648,95,253,.375,37,103,.359,58,150,.387,.449,23,27,.852,8,34,42,65,16,0,57,33,250
Marc Gasol,C,35,TOR,23,23,662,49,144,.340,27,77,.351,22,67,.328,.434,19,24,.792,17,129,146,81,15,27,31,77,144
Rudy Gay,PF,33,SAS,23,4,532,96,209,.459,20,73,.274,76,136,.559,.507,48,54,.889,31,105,136,44,10,13,38,34,260
Paul George,SF,29,LAC,14,14,416,108,242,.446,57,136,.419,51,106,.481,.564,62,68,.912,7,82,89,50,20,6,48,36,335
Taj Gibson,C,34,NYK,22,16,360,50,98,.510,2,10,.200,48,88,.545,.520,9,15,.600,42,55,97,27,15,5,16,49,111
Harry Giles,PF,21,SAC,7,0,52,11,25,.440,0,0,NA,11,25,.440,.440,2,2,1.000,3,4,7,5,2,3,5,13,24
Shai Gilgeous-Alexander,SG,21,OKC,23,23,802,156,361,.432,34,95,.358,122,266,.459,.479,86,108,.796,16,103,119,69,23,10,49,42,432
Rudy Gobert,C,27,UTA,22,22,745,121,178,.680,0,0,NA,121,178,.680,.680,75,122,.615,74,224,298,30,17,39,49,70,317
Brandon Goodwin,PG,24,ATL,2,0,5,0,1,.000,0,1,.000,0,0,NA,.000,0,0,NA,0,0,0,0,0,0,2,1,0
Aaron Gordon,PF,24,ORL,20,20,623,100,236,.424,25,80,.313,75,156,.481,.477,48,67,.716,31,105,136,57,14,10,28,43,273
Eric Gordon,SG,31,HOU,9,2,265,34,110,.309,21,74,.284,13,36,.361,.405,9,14,.643,3,14,17,7,5,2,12,21,98
Devonte' Graham,PG,24,CHO,26,16,876,162,398,.407,96,228,.421,66,170,.388,.528,80,99,.808,27,68,95,200,19,6,78,46,500
Treveon Graham,SG,26,MIN,22,17,484,47,136,.346,13,62,.210,34,74,.459,.393,19,24,.792,23,53,76,23,14,2,13,49,126
Jerami Grant,PF,25,DEN,22,0,483,75,169,.444,27,75,.360,48,94,.511,.524,25,42,.595,11,63,74,24,9,14,18,41,202
Josh Gray,PG,26,NOP,2,0,23,1,2,.500,0,0,NA,1,2,.500,.500,0,0,NA,1,1,2,2,0,0,5,1,2
